kepid,koi_steff,koi_srad,ra,dec,koi_kepmag,koi_time0bk,koi_impact,koi_prad,koi_period,koi_duration,koi_disposition
10797460,5455.0,0.927,291.93423,48.141651,15.347,170.53875,0.146,2.26,9.48803557,2.9575,CONFIRMED
10797460,5455.0,0.927,291.93423,48.141651,15.347,162.51384,0.586,2.83,54.4183827,4.507,CONFIRMED
10811496,5853.0,0.868,297.00482,48.134129,15.436,175.850252,0.969,14.6,19.89913995,1.7822,FALSE POSITIVE
10848459,5805.0,0.791,285.53461,48.28521,15.597,170.307565,1.276,33.46,1.736952453,2.40641,FALSE POSITIVE
10854555,6031.0,1.046,288.75488,48.2262,15.509,171.59555,0.701,2.75,2.525591777,1.6545,CONFIRMED
10872983,6046.0,0.972,296.28613,48.22467,15.714,171.20116,0.538,3.9,11.09432054,4.5945,CONFIRMED
10872983,6046.0,0.972,296.28613,48.22467,15.714,172.97937,0.762,2.77,4.13443512,3.1402,CONFIRMED
10872983,6046.0,0.972,296.28613,48.22467,15.714,179.55437,0.755,1.59,2.56658897,2.429,CONFIRMED
6721123,6227.0,1.958,298.86435,42.151569,12.66,132.25053,1.169,39.21,7.36178958,5.022,FALSE POSITIVE
10910878,5031.0,0.848,286.99948,48.37579,15.841,173.621937,0.052,5.76,16.06864674,3.5347,CONFIRMED
11446443,5820.0,0.964,286.80847,49.316399,11.338,122.763305,0.818,13.04,2.470613377,1.74319,CONFIRMED
10666592,6440.0,1.952,292.24728,47.969521,10.463,121.3585417,0.224,16.1,2.204735417,3.88864,CONFIRMED
6922244,6225.0,1.451,281.28812,42.45108,13.563,121.1194228,0.631,14.59,3.522498429,3.19843,CONFIRMED
10984090,5833.0,1.022,295.64871,48.49556,12.772,133.98318,0.051,1.16,3.709214104,2.6302,CONFIRMED
10419211,5795.0,0.848,297.07993,47.597401,15.472,170.839688,2.483,150.51,11.521446064,3.6399,FALSE POSITIVE
10464078,5043.0,0.68,289.25821,47.635319,15.487,172.484253,0.804,7.18,19.40393776,12.2155,FALSE POSITIVE
10480982,6117.0,0.947,295.81454,47.69035,15.341,184.5521637,1.065,49.29,19.221388942,4.79843,FALSE POSITIVE
10485250,5152.0,0.786,297.15442,47.668701,15.788,180.881761,0.292,7.94,16.46983774,9.4378,FALSE POSITIVE
10526549,4856.0,0.696,288.13824,47.724449,15.302,173.258155,0.387,2.47,9.27358173,3.2875,CONFIRMED
10583066,4537.0,0.672,283.71088,47.86327,15.784,171.602959,0.258,2.85,6.02930329,1.5821,CONFIRMED
10583180,4989.0,0.819,283.76547,47.804298,15.269,170.73769,0.044,1.58,2.696370652,3.6129,FALSE POSITIVE
10601284,5185.0,0.91,292.37613,47.880989,15.416,171.80694,0.092,2.55,5.349553819,3.0278,CONFIRMED
10601284,5185.0,0.91,292.37613,47.880989,15.416,136.08662,0.226,1.7,3.94105221,2.5984,CONFIRMED
10601284,5185.0,0.91,292.37613,47.880989,15.416,132.8031,0.025,1.3,8.10904807,3.596,CONFIRMED
2306756,5543.0,1.58,292.27374,37.671558,12.394,166.342079,0.9765,41.5,386.6030528,6.8057,FALSE POSITIVE
10662202,4954.0,0.828,290.46512,47.92918,15.377,171.53594,0.896,2.95,21.67699193,3.4555,CONFIRMED
10682541,5339.0,0.847,297.80826,47.946671,15.861,171.74208,0.71,2.78,4.99677968,2.1717,CONFIRMED
11460018,5644.0,0.831,294.26581,49.314091,15.356,171.89659,0.424,2.3,4.280963604,2.875,CONFIRMED
11463211,5714.0,0.831,295.66522,49.351009,15.525,170.998064,0.86,4.53,1.50635409,1.5155,FALSE POSITIVE
11465813,5520.0,0.983,296.69861,49.316479,15.207,209.04355,0.701,14.14,670.645531,53.412,FALSE POSITIVE
11493732,6144.0,1.091,283.72592,49.479519,15.25,173.83826,1.248,39.87,61.2563628,7.633,FALSE POSITIVE
11507101,5481.0,1.036,291.72202,49.480869,15.172,172.82048,0.468,2.82,38.3775486,5.588,CONFIRMED
10910878,5031.0,0.848,286.99948,48.37579,15.841,165.00404,0.045,3.86,41.19725502,4.6297,CONFIRMED
10910878,5031.0,0.848,286.99948,48.37579,15.841,171.30126,0.105,2.65,6.252962249,2.5819,CONFIRMED
10987985,5015.0,0.826,297.02563,48.478588,15.39,176.3608,0.799,3.1,16.01308419,3.2554,CONFIRMED
11018648,5586.0,0.798,285.71854,48.505859,15.082,194.1019,0.021,3.36,32.62876672,4.7971,CONFIRMED
11018648,5586.0,0.798,285.71854,48.505859,15.082,193.8378,0.606,2.12,91.7732862,6.473,CONFIRMED
11138155,5712.0,1.082,292.16705,48.727589,15.263,172.2585292,0.831,12.21,4.959319244,2.22739,CANDIDATE
11152159,5550.0,0.91,297.92365,48.777321,15.54,170.69579,1.016,6.54,2.701287801,3.3827,FALSE POSITIVE
11153539,6075.0,0.969,298.45685,48.791592,15.395,171.34905,0.312,2.1,4.49876511,3.7362,CONFIRMED
11242721,6074.0,1.063,291.0939,48.933842,15.536,179.401981,0.723,12.42,19.651209505,5.2514,FALSE POSITIVE
9579641,5779.0,1.087,287.88733,46.276241,12.791,133.143089,0.787,2.94,5.412203927,2.9472,CONFIRMED
11304958,5468.0,1.046,295.55505,49.017342,15.4,208.93203,0.355,5.5,41.43958662,10.5989,CONFIRMED
11391957,5592.0,0.787,285.49924,49.277351,15.317,171.63257,0.023,2.52,8.35389523,2.2514,CONFIRMED
11403044,6174.0,1.103,291.93616,49.253979,15.506,169.752585,0.597,4.43,4.125543472,3.1744,CONFIRMED
11414511,5532.0,0.955,297.01547,49.225288,15.052,170.9676846,0.105,12.21,2.816504904,2.50587,CONFIRMED
11442465,5040.0,0.705,284.17233,49.360722,15.716,186.67608,0.812,7.34,33.93373447,14.561,FALSE POSITIVE
12110942,5880.0,0.917,291.62241,50.61824,15.242,170.36571,0.151,1.89,3.689920099,2.6557,CONFIRMED
12366084,5714.0,1.015,295.81616,51.121738,15.367,171.015,0.405,3.25,4.431238488,3.15,CONFIRMED
12366084,5714.0,1.015,295.81616,51.121738,15.367,133.84992,0.911,3.95,11.37936986,2.6255,CONFIRMED
12404086,5129.0,0.763,289.39972,51.25032,15.234,176.05459,0.602,3.07,26.39432897,3.573,CONFIRMED
8395660,5854.0,1.012,300.86398,44.337551,12.882,136.279194,0.866,2.64,13.57078281,3.3539,CONFIRMED
9579641,5779.0,1.087,287.88733,46.276241,12.791,139.00492,0.898,1.79,7.12594387,3.0014,CONFIRMED
11656840,6108.0,0.956,288.98682,49.733742,15.27,169.9717797,0.137,15.03,7.442652004,2.3078,FALSE POSITIVE
11754553,4126.0,0.615,286.73804,49.97575,15.095,172.72782,0.001,2.0,16.38489988,3.0249,CONFIRMED
11754553,4126.0,0.615,286.73804,49.97575,15.095,176.3759,0.041,2.16,7.8774163,2.0805,CONFIRMED
11754553,4126.0,0.615,286.73804,49.97575,15.095,151.60125,0.028,1.99,36.4454001,4.007,CONFIRMED
11812062,5497.0,0.809,290.78574,50.054119,15.523,171.793255,0.558,6.02,3.728732147,2.683,CONFIRMED
11818800,5446.0,0.781,294.31686,50.080231,15.487,173.56469,0.911,7.51,40.4195037,3.362,CANDIDATE
11853255,4149.0,0.564,285.17621,50.149818,15.135,170.679233,0.915,1.99,2.243380573,1.1196,CONFIRMED
11909839,5746.0,0.924,289.23553,50.241001,15.562,177.197466,0.324,11.23,10.405998015,6.5036,FALSE POSITIVE
11918099,5005.0,0.765,293.83331,50.23035,15.334,171.761982,0.28,2.34,2.337437946,1.9982,CONFIRMED
11918099,5005.0,0.765,293.83331,50.23035,15.334,137.75545,1.198,19.45,7.2406612,0.558,CANDIDATE
9579641,5779.0,1.087,287.88733,46.276241,12.791,132.6624,0.624,0.55,3.43591631,3.133,CANDIDATE
11923270,3688.0,0.473,296.22195,50.28722,15.937,180.395376,0.679,2.65,11.59822233,2.5237,CONFIRMED
11960862,5992.0,0.989,290.09805,50.321609,15.312,173.634044,0.39,5.31,6.575315881,4.3084,CONFIRMED
12020329,5485.0,0.867,295.45529,50.49456,15.08,169.994217,0.547,4.86,7.275040844,7.5377,CONFIRMED
12066335,4077.0,0.56,293.97336,50.53191,15.385,186.77093,0.031,1.93,19.27153892,2.7594,CONFIRMED
12066335,4077.0,0.56,293.97336,50.53191,15.385,136.28906,0.628,1.91,10.06524317,1.369,CONFIRMED
12070811,5557.0,0.75,296.02133,50.56778,15.505,178.74725,0.883,2.66,12.3935651,3.8896,CONFIRMED
8395660,5854.0,1.012,300.86398,44.337551,12.882,151.93538,0.852,2.87,43.84439721,6.802,CONFIRMED
3120431,5295.0,0.811,292.31595,38.27029,15.629,171.63943,1.213,21.55,3.341913228,3.813,FALSE POSITIVE
3246984,5735.0,0.973,294.36819,38.31028,15.279,169.820171,1.26,32.43,1.626630225,2.1145,CANDIDATE
3342970,6214.0,1.076,291.65353,38.494659,15.541,170.03417,0.023,3.12,2.711504086,3.0099,CONFIRMED
3342970,6214.0,1.076,291.65353,38.494659,15.541,172.81782,0.012,3.32,7.21203748,4.0491,CONFIRMED
12459725,5799.0,0.878,291.0448,51.321671,15.727,171.50237,0.1601,1.88,14.1798187,2.505,FALSE POSITIVE
12470844,5354.0,0.788,296.36652,51.319519,15.339,174.16212,0.022,2.59,8.47237911,2.7245,CONFIRMED
12470844,5354.0,0.788,296.36652,51.319519,15.339,181.16367,0.094,2.36,60.4189369,5.039,CONFIRMED
12644822,5795.0,0.919,289.11221,51.737381,15.14,180.892284,0.55,7.4,12.611904345,5.1497,CONFIRMED
2440757,6017.0,1.339,290.84369,37.728828,15.122,170.403536,1.268,46.58,1.433769925,1.8868,FALSE POSITIVE
2445129,5927.0,1.06,291.84891,37.713501,15.065,173.31543,1.215,28.59,10.31872301,3.836,FALSE POSITIVE
2713049,5519.0,1.062,291.43997,37.905659,15.026,169.67494,0.238,2.06,2.539183147,2.4282,CONFIRMED
3114167,5653.0,0.679,290.87051,38.273628,15.591,170.57662,0.838,2.77,6.770300385,2.0844,CONFIRMED
3114661,5255.0,0.636,290.99689,38.28492,15.748,169.865406,1.258,27.51,0.444291966,2.0792,FALSE POSITIVE
3115833,5988.0,0.836,291.28195,38.241669,15.657,177.141891,0.92,7.73,10.181584004,3.5089,CANDIDATE
4139816,3950.0,0.493,286.07913,39.27832,15.954,147.46554,0.556,1.96,20.06036336,3.3203,CONFIRMED
4139816,3950.0,0.493,286.07913,39.27832,15.954,165.23729,0.013,1.83,46.1842039,4.758,CONFIRMED
8395660,5854.0,1.012,300.86398,44.337551,12.882,147.537,0.95,1.31,23.9800854,5.351,CONFIRMED
4139816,3950.0,0.493,286.07913,39.27832,15.954,136.54995,0.708,1.2,7.82502168,2.186,CONFIRMED
