kepid,teff,radius,ra,dec,kmag,koi_time0bk,koi_impact,koi_period,koi_duration,koi_disposition
10002413,5708,0.956,287.6449,46.952301,12.785,0,0,0,0,NEGATIVE
10002443,4896,2.389,287.66138,46.949848,10.705,0,0,0,0,NEGATIVE
10002456,5642,0.831,287.66931,46.920559,14.131,0,0,0,0,NEGATIVE
10002462,9877,2.198,287.67148,46.976231,10.239,0,0,0,0,NEGATIVE
10002490,5577,0.884,287.69461,46.90506,11.037,0,0,0,0,NEGATIVE
10002493,5198,7.182,287.69623,46.93969,11.298,0,0,0,0,NEGATIVE
10002494,6609,1.66,287.69675,46.92548,12.023,0,0,0,0,NEGATIVE
10002496,6268,1.116,287.69797,46.94141,12.955,0,0,0,0,NEGATIVE
10002517,5762,0.884,287.7124,46.908951,11.489,0,0,0,0,NEGATIVE
10002543,6721,1.447,287.72931,46.98484,11.992,0,0,0,0,NEGATIVE
10002556,5084,7.749,287.73529,46.972561,10.272,0,0,0,0,NEGATIVE
10002567,5997,0.961,287.74106,46.920639,13.333,0,0,0,0,NEGATIVE
10002597,5305,0.85,287.75519,46.90274,12.105,0,0,0,0,NEGATIVE
10002610,5221,0.724,287.76569,46.978241,13.051,0,0,0,0,NEGATIVE
10002625,6348,1.292,287.7728,46.974152,11.382,0,0,0,0,NEGATIVE
10002639,6673,1.59,287.78281,46.970261,13.116,0,0,0,0,NEGATIVE
10002647,5144,5.481,287.78772,46.915989,9.369,0,0,0,0,NEGATIVE
10002672,4497,0.599,287.79675,46.948929,13.397,0,0,0,0,NEGATIVE
10002684,5251,0.732,287.80618,46.901878,13.885,0,0,0,0,NEGATIVE
10002687,5776,0.869,287.80887,46.974789,14.196,0,0,0,0,NEGATIVE
10002712,6803,1.64,287.8248,46.956532,12.003,0,0,0,0,NEGATIVE
10002780,6490,1.235,287.85861,46.99361,14.421,0,0,0,0,NEGATIVE
10002783,5122,0.768,287.86218,46.93486,12.597,0,0,0,0,NEGATIVE
10002787,6206,1.757,287.86502,46.98159,9.761,0,0,0,0,NEGATIVE
10002792,4534,0.607,287.86722,46.983082,10.5,0,0,0,0,NEGATIVE
10002794,5681,0.838,287.86868,46.905289,14.216,0,0,0,0,NEGATIVE
10002816,6180,1.16,287.87939,46.970169,12.318,0,0,0,0,NEGATIVE
10002817,5780,1.0,287.87952,46.915024,10.234,0,0,0,0,NEGATIVE
10002867,6184,1.11,287.90665,46.94458,12.801,0,0,0,0,NEGATIVE
10002882,5545,0.806,287.91287,46.918159,13.042,0,0,0,0,NEGATIVE
10002885,6078,1.011,287.91467,46.999321,14.128,0,0,0,0,NEGATIVE
10002897,7707,3.292,287.92383,46.9202,11.359,0,0,0,0,NEGATIVE
10002907,6202,1.023,287.92996,46.995529,13.635,0,0,0,0,NEGATIVE
10002915,5721,0.901,287.93448,46.978401,13.957,0,0,0,0,NEGATIVE
10002938,5428,0.774,287.9501,46.92371,13.428,0,0,0,0,NEGATIVE
